Run_ID,Processors,Cores,Total_events,Job_Throughput(events/ms),Job_Read_Throughput(events/ms),VMem_max_GB,RSS_max_GB,PSS_max_GB,DAOD_size_GB,Level,AODtype,Algo
1,1,1,7000,0.0006218905472636,0.0395822377535383,13.48,9.53,5.02,0.28,1,TTree,LZMA
2,1,1,7000,0.0006207324643078,0.0397203686050206,13.47,9.48,4.82,0.28,1,TTree,LZMA
3,1,1,7000,0.0006230529595015,0.0396757920988494,13.47,9.53,4.75,0.28,1,TTree,LZMA
4,1,1,7000,0.0006203473945409,0.0396623038132472,13.45,10.04,5.01,0.28,1,TTree,LZMA
5,1,1,7000,0.0006211180124223,0.0396411905948443,13.48,10.01,5.1,0.28,1,TTree,LZMA
1,1,4,28000,0.0023201663890753,0.1549178105687143,28.37,19.99,8.89,1.13,1,TTree,LZMA
2,1,4,28000,0.0023069761310362,0.1548604044068846,28.39,21.2,9.03,1.13,1,TTree,LZMA
3,1,4,28000,0.002194185408667,0.1515856946414457,28.41,21.43,9.14,1.13,1,TTree,LZMA
4,1,4,28000,0.0022913444463538,0.1537599806701738,28.37,20.81,8.87,1.13,1,TTree,LZMA
5,1,4,28000,0.0022519262011613,0.1519328022920148,28.36,21.17,8.82,1.13,1,TTree,LZMA
1,1,8,56000,0.0044066729619137,0.2935656695918389,48.24,35.46,14.0,2.27,1,TTree,LZMA
2,1,8,56000,0.0044893378226711,0.3010315706859757,48.26,35.51,14.32,2.27,1,TTree,LZMA
3,1,8,56000,0.0044967639359532,0.3028549487039431,48.27,36.45,14.18,2.27,1,TTree,LZMA
4,1,8,56000,0.004439511653718,0.304337902024934,48.24,35.48,14.23,2.27,1,TTree,LZMA
5,1,8,56000,0.0044275774826059,0.3054234477944064,48.32,35.12,14.15,2.27,1,TTree,LZMA
1,1,16,112000,0.0084033613445378,0.5852292322001484,90.81,68.79,28.41,4.54,1,TTree,LZMA
2,1,16,112000,0.0083945435466946,0.5966904987693259,90.77,67.42,28.42,4.54,1,TTree,LZMA
3,1,16,112000,0.008446455505279,0.5731773472124134,90.64,68.65,29.62,4.54,1,TTree,LZMA
4,1,16,112000,0.0084166228300894,0.6041481241740162,90.67,65.83,28.33,4.54,1,TTree,LZMA
5,1,16,112000,0.0084403448483752,0.6027111237871784,90.69,64.83,28.37,4.54,1,TTree,LZMA
1,1,32,224000,0.0133926436121873,1.0241310887793638,175.81,132.32,54.39,9.09,1,TTree,LZMA
2,1,32,224000,0.0138010917649378,1.0729716524721458,175.78,130.35,55.15,9.08,1,TTree,LZMA
3,1,32,224000,0.013873405177753,1.0609426285800894,175.87,132.73,54.99,9.09,1,TTree,LZMA
4,1,32,224000,0.0137484042030835,1.0698098699512375,175.95,130.39,54.62,9.09,1,TTree,LZMA
5,1,32,224000,0.0138026224982746,1.069973393965159,175.76,132.64,54.88,9.09,1,TTree,LZMA
1,1,1,7000,0.0006242197253433,0.1152979412145539,22.41,17.3,7.99,0.28,1,Rntuple,ZSTD
2,1,1,7000,0.0006246096189881,0.1154125173118776,22.29,17.16,7.84,0.28,1,Rntuple,ZSTD
3,1,1,7000,0.0006265664160401,0.116253965090595,22.29,17.18,7.93,0.28,1,Rntuple,ZSTD
4,1,1,7000,0.0006184291898577,0.1151252281165439,22.41,16.57,9.58,0.28,1,Rntuple,ZSTD
5,1,1,7000,0.0006261740763932,0.115454395513772,22.41,16.58,7.72,0.28,1,Rntuple,ZSTD
1,1,4,28000,0.0022953758505802,0.322432058959005,43.35,33.58,17.6,1.13,1,Rntuple,ZSTD
2,1,4,28000,0.0024666691333358,0.324547535254596,43.32,33.95,17.55,1.13,1,Rntuple,ZSTD
3,1,4,28000,0.0022411863944297,0.3206780049246979,43.42,34.4,17.87,1.13,1,Rntuple,ZSTD
